epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2741.33,1.05738,0.9411,1.1112,0.70903,0.67322,0.71144,0.48455,1.08941,1.03191,1.14824,0.000349331,0.000349331,0.000349331
43,2801.89,1.0435,0.91672,1.10543,0.74142,0.65139,0.71332,0.48905,1.09285,1.02971,1.14852,0.00034351,0.00034351,0.00034351
44,2862.84,1.04737,0.91868,1.10388,0.73485,0.63854,0.70955,0.49131,1.08096,1.01995,1.14061,0.000337688,0.000337688,0.000337688
45,2922.97,1.04565,0.90923,1.10326,0.74519,0.65208,0.71951,0.50346,1.10425,1.03007,1.14362,0.000331867,0.000331867,0.000331867
46,2983.6,1.03786,0.89976,1.1021,0.71703,0.63636,0.70554,0.49857,1.11296,1.06362,1.15984,0.000326046,0.000326046,0.000326046
47,3043.39,1.03164,0.90017,1.09873,0.71031,0.63519,0.70275,0.48701,1.1019,1.04808,1.14601,0.000320225,0.000320225,0.000320225
48,3104.36,1.02957,0.88646,1.09822,0.72221,0.63246,0.70664,0.50059,1.09572,1.02204,1.14917,0.000314404,0.000314404,0.000314404
49,3164.04,1.03653,0.90239,1.10475,0.71165,0.62878,0.67945,0.47412,1.09135,1.01894,1.14544,0.000308582,0.000308582,0.000308582
50,3225.07,1.01942,0.88084,1.09207,0.72881,0.64574,0.7166,0.50024,1.10464,1.03138,1.14764,0.000302761,0.000302761,0.000302761
51,3284.76,1.02133,0.87145,1.08943,0.70211,0.67442,0.70828,0.50112,1.0968,1.00897,1.15259,0.00029694,0.00029694,0.00029694
52,3348.17,1.01813,0.86552,1.0906,0.70342,0.6565,0.71093,0.49822,1.09671,1.02068,1.14776,0.000291119,0.000291119,0.000291119
53,3413.1,1.0079,0.85247,1.08151,0.73173,0.62433,0.68948,0.47319,1.09187,1.04876,1.148,0.000285298,0.000285298,0.000285298
54,3478.25,1.01048,0.85412,1.0851,0.72385,0.67348,0.7203,0.50076,1.09008,1.01969,1.14025,0.000279476,0.000279476,0.000279476
55,3541.78,1.00718,0.84505,1.08269,0.74308,0.63446,0.70817,0.49595,1.09395,1.01346,1.14733,0.000273655,0.000273655,0.000273655
56,3606.27,1.0059,0.84501,1.08231,0.6903,0.64106,0.70854,0.49398,1.09761,1.04885,1.15069,0.000267834,0.000267834,0.000267834
57,3670.91,1.00674,0.84363,1.08219,0.72145,0.64179,0.7071,0.4952,1.09624,1.05428,1.14343,0.000262013,0.000262013,0.000262013
58,3735.15,1.00316,0.8382,1.07916,0.73191,0.65201,0.70823,0.48704,1.09278,1.02679,1.15078,0.000256192,0.000256192,0.000256192
59,3798.04,0.99396,0.82146,1.07602,0.68839,0.64154,0.70743,0.50238,1.10167,1.0368,1.14446,0.00025037,0.00025037,0.00025037
60,3862.05,1.00518,0.82768,1.07704,0.69771,0.66319,0.71342,0.50603,1.1039,1.04137,1.15076,0.000244549,0.000244549,0.000244549
61,3926.2,0.9886,0.81714,1.07053,0.71451,0.64857,0.71769,0.50664,1.08488,0.9995,1.13921,0.000238728,0.000238728,0.000238728
62,3989.21,0.99211,0.81276,1.0705,0.72355,0.66657,0.72558,0.50209,1.09417,1.00937,1.14387,0.000232907,0.000232907,0.000232907
63,4052.95,0.98635,0.8012,1.06813,0.74761,0.63431,0.72176,0.50643,1.09318,1.01992,1.14322,0.000227086,0.000227086,0.000227086
64,4116.01,0.98668,0.79945,1.07271,0.69838,0.66558,0.7178,0.49888,1.09438,1.01106,1.14819,0.000221264,0.000221264,0.000221264
65,4179.34,0.98213,0.8006,1.06675,0.75405,0.6426,0.71311,0.50769,1.09247,1.00087,1.14298,0.000215443,0.000215443,0.000215443
66,4240.73,0.97838,0.78731,1.06674,0.74528,0.64749,0.71339,0.50321,1.09468,1.01383,1.14801,0.000209622,0.000209622,0.000209622
67,4303.81,0.97232,0.7835,1.06339,0.73526,0.65281,0.71841,0.50879,1.09076,1.00145,1.14874,0.000203801,0.000203801,0.000203801
68,4364.72,0.98233,0.79301,1.06512,0.74933,0.64926,0.71912,0.5042,1.08963,1.00384,1.15459,0.00019798,0.00019798,0.00019798
69,4425.87,0.97175,0.76999,1.05928,0.73422,0.64964,0.71705,0.50904,1.08898,1.02257,1.14376,0.000192158,0.000192158,0.000192158
70,4486.89,0.97216,0.76492,1.06121,0.75216,0.64311,0.71721,0.5165,1.08497,0.99385,1.14438,0.000186337,0.000186337,0.000186337
71,4547.19,0.95293,0.75654,1.05589,0.80379,0.60872,0.72293,0.50939,1.0908,1.02187,1.14402,0.000180516,0.000180516,0.000180516
72,4608.39,0.96025,0.76023,1.05535,0.75914,0.63127,0.71739,0.50763,1.10116,1.02024,1.15686,0.000174695,0.000174695,0.000174695
73,4668.41,0.95814,0.76154,1.05305,0.71985,0.66672,0.71925,0.50807,1.10166,1.0144,1.1496,0.000168874,0.000168874,0.000168874
74,4729.82,0.95353,0.7463,1.04989,0.73687,0.65104,0.72263,0.51286,1.10148,1.02923,1.15152,0.000163052,0.000163052,0.000163052
75,4790.42,0.94986,0.74291,1.0482,0.74163,0.65175,0.71287,0.50454,1.09383,1.02418,1.14757,0.000157231,0.000157231,0.000157231
76,4850.28,0.95168,0.7386,1.0466,0.74458,0.65095,0.72702,0.50836,1.09834,1.01288,1.14757,0.00015141,0.00015141,0.00015141
77,4911.02,0.95387,0.74221,1.04855,0.70575,0.66488,0.72399,0.51494,1.08908,1.00979,1.14592,0.000145589,0.000145589,0.000145589
78,4971.53,0.95138,0.73748,1.05221,0.70052,0.68324,0.72709,0.518,1.1059,0.99947,1.15654,0.000139768,0.000139768,0.000139768
79,5033.49,0.94485,0.73397,1.04946,0.73456,0.64973,0.72334,0.51786,1.10366,1.03828,1.14784,0.000133946,0.000133946,0.000133946
80,5095.32,0.94049,0.72214,1.04484,0.73128,0.655,0.72525,0.51243,1.10689,1.00955,1.1561,0.000128125,0.000128125,0.000128125
81,5158.21,0.94423,0.72251,1.04532,0.70062,0.67828,0.72419,0.51589,1.11165,1.03052,1.16088,0.000122304,0.000122304,0.000122304
82,5219.56,0.93442,0.72282,1.04393,0.73718,0.6676,0.72072,0.50894,1.1002,1.01615,1.1503,0.000116483,0.000116483,0.000116483
83,5281.55,0.93235,0.71483,1.03679,0.74449,0.6358,0.71506,0.51036,1.10246,1.03689,1.15551,0.000110662,0.000110662,0.000110662
84,5344.55,0.93992,0.72322,1.04003,0.7243,0.65422,0.71888,0.50954,1.10575,1.02297,1.1516,0.00010484,0.00010484,0.00010484
85,5406.32,0.93049,0.71377,1.03993,0.75911,0.63721,0.72316,0.50815,1.10401,1.00665,1.15785,9.90192e-05,9.90192e-05,9.90192e-05
86,5468,0.92627,0.70767,1.03556,0.75604,0.64906,0.72218,0.5071,1.09617,1.02943,1.14794,9.3198e-05,9.3198e-05,9.3198e-05
87,5531.11,0.91718,0.69805,1.03383,0.75804,0.63873,0.72277,0.51283,1.09643,1.01599,1.15102,8.73768e-05,8.73768e-05,8.73768e-05
88,5594.66,0.92743,0.69455,1.03339,0.77364,0.63256,0.72863,0.5125,1.10266,1.01748,1.15206,8.15556e-05,8.15556e-05,8.15556e-05
89,5658.12,0.91431,0.69641,1.03105,0.77859,0.6451,0.73132,0.51711,1.09612,1.0114,1.14966,7.57344e-05,7.57344e-05,7.57344e-05
90,5721.44,0.90999,0.69071,1.03157,0.71134,0.67375,0.72547,0.51001,1.10593,1.01094,1.15535,6.99132e-05,6.99132e-05,6.99132e-05
91,5786.4,0.89222,0.62082,1.01156,0.73698,0.65039,0.71992,0.49895,1.11181,1.01981,1.16087,6.4092e-05,6.4092e-05,6.4092e-05
92,5846.19,0.87378,0.58686,1.00345,0.71346,0.68571,0.72193,0.50203,1.1115,1.01346,1.15854,5.82708e-05,5.82708e-05,5.82708e-05
93,5908.34,0.85843,0.57309,0.99634,0.76287,0.65128,0.7179,0.50378,1.10881,1.01542,1.15917,5.24496e-05,5.24496e-05,5.24496e-05
94,5967.88,0.85834,0.56932,0.99577,0.73494,0.65614,0.72272,0.50799,1.10626,1.01882,1.15702,4.66284e-05,4.66284e-05,4.66284e-05
95,6029.35,0.85532,0.56588,0.99239,0.74445,0.64845,0.71954,0.50447,1.10446,1.02067,1.15701,4.08072e-05,4.08072e-05,4.08072e-05
96,6090.02,0.84376,0.55353,0.99098,0.7416,0.65824,0.72003,0.50355,1.10341,1.02166,1.15785,3.4986e-05,3.4986e-05,3.4986e-05
97,6150.87,0.84843,0.55546,0.99008,0.70428,0.68348,0.72072,0.50357,1.10946,1.03347,1.1635,2.91648e-05,2.91648e-05,2.91648e-05
98,6210.73,0.84077,0.54602,0.98733,0.73569,0.65244,0.72121,0.50383,1.1104,1.02667,1.16357,2.33436e-05,2.33436e-05,2.33436e-05
99,6271.37,0.84567,0.55134,0.98981,0.69515,0.67573,0.72062,0.50321,1.10809,1.02913,1.15977,1.75224e-05,1.75224e-05,1.75224e-05
100,6330.77,0.83995,0.54636,0.98694,0.6911,0.68344,0.71954,0.50578,1.1064,1.02571,1.16008,1.17012e-05,1.17012e-05,1.17012e-05
