epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,15331.6,1.04089,0.90127,1.10187,0.76162,0.62474,0.70331,0.49541,1.09478,1.04346,1.14388,0.000349331,0.000349331,0.000349331
43,15698.2,1.03291,0.89581,1.09588,0.69706,0.68494,0.68726,0.48889,1.09044,1.02408,1.13916,0.00034351,0.00034351,0.00034351
44,16065.1,1.03869,0.89645,1.1009,0.72842,0.61635,0.70133,0.49136,1.09805,1.07441,1.14919,0.000337688,0.000337688,0.000337688
45,16432.2,1.02477,0.88748,1.09314,0.73444,0.62421,0.70043,0.49125,1.11167,1.054,1.16245,0.000331867,0.000331867,0.000331867
46,16798.5,1.02549,0.87294,1.09378,0.72695,0.66673,0.71076,0.49759,1.10184,1.01952,1.15055,0.000326046,0.000326046,0.000326046
47,17165,1.01805,0.86626,1.08732,0.74938,0.64567,0.7164,0.50087,1.11619,1.04093,1.15805,0.000320225,0.000320225,0.000320225
48,17532,1.02002,0.85965,1.08912,0.70059,0.6797,0.7157,0.50579,1.10514,1.02146,1.15504,0.000314404,0.000314404,0.000314404
49,17899.1,1.01536,0.8541,1.08385,0.72927,0.68262,0.70805,0.49679,1.10425,1.03868,1.15105,0.000308582,0.000308582,0.000308582
50,18267.3,1.00923,0.8455,1.08457,0.71882,0.6639,0.69959,0.49015,1.11926,1.05649,1.16226,0.000302761,0.000302761,0.000302761
51,18633.8,1.00741,0.84156,1.08421,0.70304,0.6597,0.70923,0.49258,1.10914,1.03015,1.15479,0.00029694,0.00029694,0.00029694
52,18999.9,0.99446,0.83146,1.07736,0.72831,0.65496,0.70779,0.4995,1.11793,1.04121,1.16556,0.000291119,0.000291119,0.000291119
53,19367,0.99952,0.82697,1.07902,0.77291,0.62682,0.71268,0.49717,1.12012,1.0507,1.15754,0.000285298,0.000285298,0.000285298
54,19733.2,0.99161,0.82029,1.07164,0.71266,0.66887,0.71904,0.51864,1.09784,1.00676,1.14974,0.000279476,0.000279476,0.000279476
55,20099.6,0.99015,0.82309,1.0742,0.73519,0.64526,0.70231,0.49981,1.10047,1.02403,1.15367,0.000273655,0.000273655,0.000273655
56,20465.8,0.98373,0.80374,1.06924,0.73298,0.62768,0.70331,0.50399,1.11134,1.03565,1.15409,0.000267834,0.000267834,0.000267834
57,20832.7,0.97949,0.80392,1.06986,0.72845,0.6633,0.71607,0.50554,1.11215,1.0248,1.15269,0.000262013,0.000262013,0.000262013
58,21199,0.9837,0.80605,1.06725,0.75949,0.64727,0.71975,0.51234,1.1045,1.00866,1.15428,0.000256192,0.000256192,0.000256192
59,21565.8,0.97589,0.79101,1.06531,0.72362,0.63993,0.69443,0.4944,1.11078,1.02679,1.16025,0.00025037,0.00025037,0.00025037
60,21932.7,0.98508,0.79618,1.06691,0.70277,0.67219,0.71665,0.50096,1.12716,1.04264,1.16643,0.000244549,0.000244549,0.000244549
61,22299.5,0.9702,0.78875,1.06318,0.75053,0.66387,0.71863,0.50869,1.10352,1.01655,1.15357,0.000238728,0.000238728,0.000238728
62,22662.4,0.97148,0.78183,1.06532,0.69157,0.67496,0.71894,0.50869,1.11265,1.02547,1.16327,0.000232907,0.000232907,0.000232907
63,23031.4,0.98064,0.77944,1.0617,0.76412,0.64967,0.72148,0.51181,1.10452,1.01383,1.15778,0.000227086,0.000227086,0.000227086
64,23404.8,0.96966,0.7797,1.06527,0.73528,0.67206,0.71595,0.51031,1.10832,1.0016,1.16273,0.000221264,0.000221264,0.000221264
65,23778.8,0.95907,0.7614,1.0595,0.75739,0.65121,0.7144,0.50924,1.10934,1.01514,1.16026,0.000215443,0.000215443,0.000215443
66,24154.3,0.96823,0.76564,1.05704,0.76037,0.66553,0.71917,0.51225,1.10358,0.9927,1.15318,0.000209622,0.000209622,0.000209622
67,24538.4,0.95909,0.75665,1.05626,0.73652,0.66731,0.71567,0.50963,1.1031,0.99433,1.15574,0.000203801,0.000203801,0.000203801
68,24924.4,0.95207,0.7538,1.05345,0.75609,0.66474,0.7164,0.51295,1.10992,1.00593,1.1612,0.00019798,0.00019798,0.00019798
69,25301.9,0.9555,0.74918,1.05006,0.7105,0.681,0.70655,0.50267,1.10963,1.01783,1.15695,0.000192158,0.000192158,0.000192158
70,25673.3,0.95263,0.74184,1.05346,0.70721,0.66317,0.70215,0.49912,1.10815,1.02301,1.15966,0.000186337,0.000186337,0.000186337
